4i1y_A	cBEbkDkFhDmAkDjECglbE	6-10 15-18 28-34 34-37 43-57 65-70 73-86 88-95 99-108 111-116 117-135 138-140 146-159 165-170 175-187 191-197 204-208 212-220 230-245 246-249 252-258
1w5d_A	jbGDlEADkACbbFDHCHElABFjjlbAjffGHHl	1-13 14-17 20-28 33-38 46-62 68-74 81-83 86-91 98-111 115-117 120-124 138-141 144-147 164-171 180-185 191-200 208-212 217-226 231-237 240-255 258-260 263-266 273-280 283-294 296-307 316-331 334-337 350-352 353-364 369-376 384-391 403-411 413-422 427-436 440-456
2qmb_A	tengbmbn	3-35 36-42 52-71 72-80 81-84 95-112 113-116 118-137
1qf6_A	BBgeCCAAoAAFmEjiDBbIbHlfAAnABegDDgAbIbJoDlBFIcAAIjDlCiDbDDk	1-4 9-12 18-26 27-33 35-39 41-45 53-55 57-59 63-85 89-91 95-97 99-106 112-129 131-137 139-150 152-162 169-174 176-179 188-191 194-204 204-207 212-221 224-239 242-249 252-254 263-265 266-286 289-291 296-299 300-306 307-315 316-321 323-328 332-340 344-346 346-349 351-361 365-368 376-387 388-410 415-420 429-445 451-454 463-470 475-485 487-491 495-497 502-504 506-516 516-528 540-545 547-562 567-571 576-586 590-595 599-602 604-609 613-618 619-632
7q5q_X	lGmkbBbBBBBAblbDDFKle	3-19 22-30 31-49 55-69 70-73 75-78 79-82 84-87 93-96 97-100 102-105 107-109 111-114 116-132 137-140 145-150 168-173 176-183 185-199 205-221 222-228
1e29_A	BBifdhbm	8-11 17-20 22-32 37-44 55-60 68-77 101-104 108-125
2iu4_B	iCCFbFjElEdkkHAACClbGmGIf	10-20 23-27 31-35 44-51 57-60 67-74 79-90 95-101 103-119 123-129 133-138 149-162 166-180 180-189 191-193 196-198 205-209 218-222 225-241 242-245 249-257 262-279 282-290 297-307 311-318
5z40_A	FhFlFCBAABiClEdn	2-9 18-27 36-43 46-61 64-71 77-81 82-85 86-88 102-104 111-114 118-128 132-136 142-157 164-170 173-178 191-210
2esk_A	lDFFCAbkhl	1-17 22-27 33-40 50-57 67-71 84-86 88-91 100-113 122-131 132-147
4wfw_A	DbCBEEE	17-22 26-29 30-34 36-39 48-54 57-63 65-71
1ak0_A	kjbefcjmccCCbemglbs	2-16 18-29 37-40 42-48 53-60 75-79 85-97 103-120 123-127 129-133 137-141 143-147 147-150 155-161 165-182 185-193 200-215 225-228 235-264
6v47_E	AABACAebBBhGDABEHgDCHECGBDBBABAB	14-16 23-25 28-31 32-34 40-44 49-51 56-62 67-70 78-81 92-95 97-106 107-115 131-136 140-142 146-149 159-165 171-180 183-191 197-202 205-209 224-233 237-243 246-250 251-259 263-266 270-275 277-280 282-285 290-292 297-300 303-305 311-314
1szp_A	cgeckhAfAEgEifDfeFdoEgFDCB	3-7 13-21 27-33 36-40 46-60 67-76 79-81 85-92 95-97 100-106 111-119 134-140 146-156 160-167 167-172 178-185 186-192 194-201 202-207 212-233 236-242 245-253 255-262 266-271 284-288 290-293
2ia1_B	nIHBeqFEkkb	1-20 24-34 39-48 53-56 56-62 67-93 98-105 109-115 122-135 140-154 160-163
5w4l_A	EBChAECmCECCBBLFmCcDDHBBKEhF	3-9 13-16 21-25 33-42 43-45 50-56 59-63 67-84 110-114 118-124 131-135 137-141 154-157 166-169 179-194 202-209 209-227 231-235 242-246 247-252 254-259 276-285 286-289 295-298 306-320 328-334 338-347 349-356
4g9b_A	CkdjbnbiCfbAbibDiDBbjc	5-9 18-32 40-45 49-60 63-66 68-88 91-94 98-108 111-115 121-128 131-134 136-138 140-143 151-161 164-167 167-172 174-184 186-191 199-202 204-207 209-220 223-227
1qvc_A	FBGGhKGC	7-14 18-21 28-36 52-60 61-70 75-88 94-102 106-110
3wo9_A	BABBBBBBBBjAb	3-6 8-10 13-16 24-27 45-48 69-72 93-96 117-120 141-144 165-168 180-191 201-203 209-212
1s4m_A	DmEcgCcgDbeDAAhcECGbIFJo	1-6 12-29 32-38 41-45 55-63 68-72 73-77 81-89 94-99 105-108 111-117 120-125 128-130 132-134 136-145 152-156 160-166 171-175 186-194 195-198 199-209 216-223 233-244 253-275
2bid_A	kinhbjmjh	16-29 35-45 80-100 107-116 117-120 125-137 146-164 168-179 184-193
