4pk1_A		_0_A_7_B_3_C_2_C_4_f_8_G_2_F_4_G_2_F_10_F_5_C_3_F_3_H_2_A	_16_A_2_D_5_D_5_D_0_-_7_G_2_E_0_-_3_E_5_E_16_C_3_D_6_E_5_A	0-13	10-21	ABCCfGFGFFCFHA	FdlGGFmGGEADDDGEEECDEAACEFEECBDDDBEDEBEE	0.668
3npf_B		_0_A_7_B_3_C_2_C_0_-_4_f_8_G_2_F_4_G_2_F_10_F_5_C_3_F_0_-_0_-_3_H_2_A	_9_C_3_E_2_D_5_D_2_A_2_h_2_C_3_D_8_E_3_G_2_D_5_D_3_B_0_e_5_h_3_A_4_A	0-13	2-18	ABCCfGFGFFCFHA	CDCEDDAhCDEGDDBehAAAfcBEIDDdEbc	0.492
4xi6_A		_0_A_7_B_3_C_0_-_0_-_2_C_0_-_4_f_8_G_2_F_4_G_2_F_10_F_0_-_5_C_3_F	_2_A_12_A_2_C_6_A_1_d_9_C_7_A_3_b_2_E_5_C_16_F_9_E_4_E_1_b_3_D_1_F	0-11	6-21	ABCCfGFGFFCFHA	CEEEDbAACAdCAbECFEEbDFbAfbcECCbCieFDDbC	0.572
1bfo_C		_7_B_3_C_2_C_4_f_8_G_2_F_0_-_4_G_2_F_0_-_10_F_0_-_5_C_3_F_0_-_3_H_0_-_2_A	_0_B_2_D_4_E_0_-_8_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_c_3_J_4_E_2_A	1-13	0-16	ABCCfGFGFFCFHA	BDEEDAEEbFAEDcJEADIdFE	0.512
5m11_A		_0_A_0_-_7_B_3_C_2_C_4_f_8_G_0_-_2_F_4_G_2_F_10_F_5_C_3_F_3_H_2_A	_7_A_14_D_2_D_13_D_4_D_0_g_8_E_7_K_2_E_13_H_5_D_6_D_4_D_9_F_5_F_9_D	0-13	32-47	ABCCfGFGFFCFHA	CEECBbFECCcFEEEEEEbBbFEEDCCDDBDDADDDDgEKEHDDDFFDDEDDbBAAFECDGEEBCDEBGG	0.613
7znl_F		_0_A_7_B_3_C_2_C_4_f_0_-_8_G_2_F_4_G_2_F_10_F_5_C_3_F_3_H_2_A	_4_C_7_C_3_D_4_D_0_c_9_A_12_F_4_E_4_D_5_D_6_C_9_C_3_E_4_F_15_B	0-13	6-20	ABCCfGFGFFCFHA	jBDEcbCCDDcAFEDDCCEFBEDEEEEEEDDD	0.624
6tgf_D		_0_A_0_-_7_B_3_C_2_C_4_f_8_G_2_F_4_G_2_F_10_F_5_C_3_F_3_H_2_A	_4_A_10_b_3_C_2_C_13_C_0_-_5_H_6_F_24_H_4_H_3_F_5_G_3_I_12_G_7_A	0-13	44-57	ABCCfGFGFFCFHA	BbCdeECCBhCEDBcCECDbckACAFCDJDJCJCAHCAHCIADBAbCCCHFHHFGIGACCCbFF	0.726
6xtg_L		_7_B_3_C_2_C_4_f_8_G_2_F_0_-_4_G_2_F_0_-_10_F_0_-_5_C_3_F_0_-_3_H_0_-_2_A	_0_C_2_D_4_F_0_-_7_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_c_3_J_4_E_2_A	1-13	0-16	ABCCfGFGFFCFHA	CDFEDAEEbFAEDcJEADIdFE	0.493
2cdu_B		_0_A_7_B_3_C_0_-_2_C_4_f_8_G_0_-_2_F_4_G_2_F_10_F_5_C_3_F_0_-_3_H_0_-_2_A	_2_C_3_B_12_B_3_k_2_D_3_j_4_E_11_k_2_D_3_F_2_E_4_C_1_C_3_B_2_b_24_B_1_b_2_B	0-13	12-29	ABCCfGFGFFCFHA	DkDdbceBFbEDCBBkDjEkDFECCBbBbBbBkDFeGGHjel	0.472
1xkh_B		_3_C_2_C_4_f_8_G_2_F_4_G_0_-_2_F_10_F_5_C_0_-_3_F_3_H	_0_C_20_F_0_-_2_E_2_B_27_H_1_b_7_C_1_B_7_D_2_A_3_J_6_J	2-12	0-11	ABCCfGFGFFCFHA	CFEBHbCBDAJJJIKNPCKAADACJKIKMMKIbIAbADDCBAA	0.537
8c8l_D		_0_A_7_B_0_-_0_-_3_C_2_C_4_f_8_G_0_-_2_F_0_-_4_G_2_F_10_F_5_C_0_-_3_F_0_-_0_-_3_H_2_A	_0_B_2_B_5_b_2_A_1_C_6_C_0_-_12_I_0_d_10_H_1_b_3_H_19_G_0_-_3_D_2_f_10_H_7_K_6_b_0_H_2_A	0-13	43-61	ABCCfGFGFFCFHA	BADCBBFgBfCebCHHbCAACbDCCBAbAcEBBEFCEbCDBccBBbACCIdHbHGDfHKbHAIbdACbCCCBFbCAFAebCFABAAGIBBbbbFbFGCbAFAccAGICAFbAbCAdFFFH	0.447
3qqz_A		_0_A_7_B_3_C_2_C_4_f_8_G_2_F_4_G_0_-_2_F_10_F_5_C_0_-_3_F_3_H_0_-_2_A	_4_F_2_C_9_B_6_E_0_-_4_E_4_F_5_G_12_E_4_F_3_F_8_C_1_d_8_D_4_E_4_D_5_B	0-13	2-17	ABCCfGFGFFCFHA	GFFCBEEFGEFFCdDEDBbCDF	0.579
7t6f_B		_0_A_7_B_0_-_3_C_2_C_4_f_8_G_2_F_0_-_0_-_0_-_0_-_4_G_2_F_10_F_5_C_3_F_3_H	_1_A_6_B_1_A_7_D_2_C_9_h_3_B_2_B_3_A_12_A_1_c_14_A_4_H_3_G_6_G_1_n_8_F_2_E	0-12	31-48	ABCCfGFGFFCFHA	DBCjbDACGAlqcgmclDCEECbFEDmbhiBABADChBBAAcAHGGnFEfnbDCbddblhikAbHFFjDCbnAABAAcAlcjik	0.463
4cag_A		_0_A_7_B_3_C_0_-_2_C_4_f_8_G_0_-_2_F_0_-_0_-_4_G_2_F_10_F_5_C_3_F_3_H_2_A	_0_A_8_C_4_C_11_E_14_C_0_-_8_F_2_A_13_D_6_A_5_A_1_H_8_G_15_D_5_E_14_B_8_E_3_A	0-13	0-16	ABCCfGFGFFCFHA	ACCECFADAAHGDEBEAAEEcbEEGHbBCBCCDDDBCBABCEFABEDbhB	0.573
5t89_X		_0_A_7_B_3_C_2_C_4_f_8_G_0_-_2_F_4_G_2_F_10_F_5_C_3_F_3_H_0_-_2_A	_9_A_5_A_2_C_5_C_0_-_20_J_2_J_4_G_4_I_7_D_8_F_8_D_24_F_8_F_7_B_2_A	0-13	37-51	ABCCfGFGFFCFHA	AEBBEEbEDBDBCCbGJDAHCFHbGHCCECCEbHJAbAACCJJGIDFDFFBA	0.672
7o9o_A		_0_A_7_B_3_C_2_C_4_f_8_G_2_F_4_G_2_F_10_F_5_C_3_F_0_-_3_H_2_A	_2_C_2_F_9_C_3_C_0_-_2_F_12_D_5_C_2_D_2_D_2_C_1_F_1_C_7_E_3_C	0-13	9-22	ABCCfGFGFFCFHA	JBKBDFCDFCFCCFDCDDCFCECCAADEEDbEbE	0.620
6djp_A		_0_A_7_B_3_C_2_C_4_f_8_G_2_F_4_G_0_-_0_-_2_F_10_F_5_C_0_-_3_F_3_H_2_A	_3_B_5_B_2_F_5_F_7_b_0_E_8_E_9_D_1_A_2_A_5_C_15_D_8_E_0_b_1_F_2_I_3_A	0-13	28-44	ABCCfGFGFFCFHA	ICEEBBAADEAAEDCDcDeAbDEcDEDEBBFFbEEDAACDEbFIAAAJIBHHHAH	0.552
5gs2_D		_0_A_7_B_0_-_0_-_3_C_2_C_4_f_8_G_2_F_4_G_2_F_0_-_0_-_10_F_5_C_0_-_0_-_3_F_0_-_3_H_2_A	_0_C_3_B_6_F_3_b_1_F_5_D_0_-_18_E_4_E_8_G_15_D_5_C_2_A_7_F_8_D_6_D_3_A_7_E_2_E_9_E_6_A	0-13	0-19	ABCCfGFGFFCFHA	CBFbFDEEGDCAFDDAEEEAB	0.449
4mng_F		_0_A_0_-_0_-_7_B_3_C_2_C_4_f_8_G_0_-_2_F_4_G_0_-_2_F_10_F_5_C_0_-_3_F_0_-_3_H_2_A	_2_A_7_F_5_G_6_A_2_E_4_E_4_b_1_G_12_B_3_E_2_E_4_C_9_F_6_F_4_C_8_C_7_C_4_b_1_G_6_B	0-13	3-22	ABCCfGFGFFCFHA	ADBAFGAEEbGBEECFFCCCbGBF	0.490
6xk9_A		_0_A_7_B_3_C_2_C_4_f_8_G_2_F_4_G_2_F_10_F_5_C_3_F_3_H	_5_D_11_B_4_B_1_C_0_-_14_E_12_B_10_G_11_E_2_K_18_H_16_E_2_G	0-12	1-12	ABCCfGFGFFCFHA	GDBBCEBGEKHEG	0.597
6arq_D		_0_A_7_B_0_-_3_C_2_C_0_-_0_-_4_f_8_G_0_-_2_F_4_G_2_F_10_F_5_C_0_-_3_F_3_H_2_A	_4_B_2_B_7_H_7_C_3_C_2_B_13_B_4_b_1_I_2_K_2_E_9_J_3_D_6_F_6_H_3_b_3_F_7_E_9_B	0-13	2-20	ABCCfGFGFFCFHA	BDBBHCCBBbIKEJDFHbFEBEECCIJ	0.493
7r27_B		_0_A_0_-_7_B_0_-_0_-_3_C_0_-_2_C_4_f_8_G_0_-_2_F_0_-_4_G_2_F_10_F_5_C_0_-_3_F_3_H_2_A	_11_B_8_j_3_C_2_c_2_i_4_C_1_f_15_C_6_i_4_E_2_b_4_C_2_e_6_B_4_D_12_E_6_A_3_f_0_C_2_J_5_F	0-13	14-34	ABCCfGFGFFCFHA	jDCmDjDjCAhEDjBjCciCfCiEbCeBDEAfCJF	0.357
6jp7_L		_0_A_7_B_0_-_3_C_0_-_2_C_4_f_8_G_2_F_0_-_4_G_2_F_10_F_5_C_0_-_3_F_3_H_2_A	_0_A_3_D_4_F_8_E_6_E_5_B_0_-_7_E_2_E_4_b_1_G_3_B_3_E_7_D_3_d_3_J_4_E_2_B	0-13	0-16	ABCCfGFGFFCFHA	ADFEEBEEbGBEDdJEBBAHeFFb	0.494
6jpl_A		_0_A_7_B_3_C_2_C_4_f_8_G_2_F_4_G_2_F_10_F_5_C_3_F_3_H	_2_B_6_B_7_A_5_C_0_-_5_G_5_G_4_G_5_H_7_F_4_E_3_G_2_H	0-12	79-90	ABCCfGFGFFCFHA	EDEEFCEEebAEEDDIGDEEEEEFEHIFEDDgFEEEcDbDFGGFFFFEDBIGHIFFEFEGGBEdGFFCDFFGFGHHGEbBBACGGGHFEGHIGE	0.740
