2hv6_A	_0_b_7_i_4_e_3_c_3_l	_3_c_7_i_7_d_1_f_4_j	0.630
1nx9_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_1_g_5_c_3_g_0_-_5_E_8_j_6_E	0.575
1b66_A	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_10_g_5_b_2_A_0_c_1_b_6_l_5_H_2_D	0.528
3cwb_F	_0_b_7_i_0_-_4_e_3_c_3_l	_3_b_5_h_2_n_5_b_3_b_5_m	0.500
7tnm_D	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_10_k_2_j_7_c_10_s_4_p_4_D_2_b_13_D	0.413
4dqx_B	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D	_4_b_1_G_5_f_2_h_8_e_6_b_0_-_6_C	0.458
2nwh_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_2_D_0_g_4_f_0_-_0_-_5_D_3_D	0.543
4e08_A	_0_b_0_-_0_-_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_1_b_6_C_3_h_1_j_3_D_3_e_7_A_3_e_5_A_5_C_2_C	0.365
3uwc_A	_0_b_0_-_0_-_0_-_7_i_4_e_3_c_0_-_3_l	_1_b_3_A_7_A_5_D_2_i_15_e_9_e_0_C_7_l	0.406
1ea5_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_10_b_7_c_2_b_1_b_3_n_21_D_6_B	0.614
5efh_A	_0_b_7_i_4_e_0_-_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_1_c_14_j_3_b_1_A_7_c_5_j_2_g_11_n_5_D_20_j_6_D	0.436
2elc_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_0_-_3_l_0_-_2_D_2_D	_9_f_8_j_1_D_0_c_1_d_1_f_4_d_10_D_3_k_3_F_10_D_3_D	0.377
4oen_B	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_8_b_3_D_3_g_0_-_1_c_0_-_2_D_2_i_4_D	0.562
4h5p_D	_0_b_7_i_4_e_0_-_3_c_3_l	_5_b_0_-_2_e_6_o_1_b_4_l	0.549
5xxu_F	_4_e_3_c_3_l_0_-_2_D_2_D	_0_f_0_-_11_m_5_j_3_D_8_D	0.566
3p1a_A	_0_b_0_-_7_i_4_e_3_c_3_l	_7_b_2_d_5_l_7_f_6_c_4_i	0.435
2pcj_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_10_b_2_j_6_D_0_-_7_l_3_D_3_c_4_E	0.569
3unv_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_5_b_1_c_5_k_9_j_15_c_1_p_7_B_4_B	0.508
2rj9_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_2_b_9_F_6_c_1_d_2_c_0_-_2_D_3_B_5_b_3_D	0.475
6hrg_A	_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_12_f_4_C_4_c_2_g_2_D_0_h_4_C	0.383
