6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
3cwb_F	_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_k_0_-_1_c_3_b_5_h_2_n_0_-_0_-_5_b_0_-_0_-_3_b_5_m	0.448
7tnm_D	_0_k_10_j_8_B_0_-_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I_0_-_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_0_-_0_-_0_-_5_g_10_C_0_-_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B	_1_k_0_-_3_D_7_A_6_A_0_-_1_e_5_A_7_e_0_-_0_-_7_I_10_b_4_o_6_c_5_j_11_o_4_b_12_d_5_D_3_g_3_j_6_A_2_j_3_E_0_h_5_C_5_C_10_k_0_-_2_j_7_c_10_s_4_p_0_-_4_D_2_b_0_-_0_-_13_D_3_C_0_-_8_B_13_j_0_-_2_m_10_q_0_-_15_A	0.404
5b1h_A	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_0_-_1_j_0_-_5_b_0_-_0_-_12_m_15_q_12_j_2_B_1_i	_0_c_5_B_5_b_0_-_1_E_0_b_0_-_7_j_8_D_0_-_3_j_3_F_0_-_4_h_3_D_1_m_4_A_0_-_8_f_2_g_6_D_4_k_4_F_3_b_18_d_2_F_1_l_0_-_5_k_7_E_4_e	0.386
5zgb_D	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_20_E_0_-_2_j_0_-_0_-_8_D_33_b_3_c	0.361
4dqx_B	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_D_0_-_0_-_4_j_3_E_0_-_2_j_3_D_5_d_2_f_0_-_4_C_0_-_0_-_14_e_5_i_8_E_2_b_7_l_0_-_4_b_1_G_5_f_2_h_8_e	0.375
1ea5_A	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k_2_n_0_-_2_j_0_-_0_-_5_o_2_o_7_k_0_-_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_1_D_2_I_6_b_0_-_13_B_0_-_19_c_13_E_7_F_12_b_2_f_2_C_5_d_12_n_1_J_1_j_1_c_4_D_12_k_7_i_2_j_23_f_7_E_4_f_13_j_5_i_9_k_5_j_5_E_10_b_7_c_2_b_1_b_3_n_21_D_0_-_6_B_3_d_5_g	0.403
6t9k_G	_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_g_8_j_0_-_0_-_6_r_2_g_0_-_1_h_14_g_8_h	0.446
5xxu_F	_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_f_11_m_5_j_3_D_8_D_0_-_2_n_7_k_0_-_6_l	0.550
2pcj_A	_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_3_E_0_-_5_g_7_E_2_A_5_j_0_C_11_j_4_k_10_b_2_j_6_D_0_-_0_-_7_l_0_-_3_D_0_-_3_c	0.354
2qsj_B	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_0_-_1_j	_3_k_3_E_0_-_2_h_0_-_6_D_2_i_4_E_0_-_3_g_4_C_4_j	0.500
4lmg_B	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m	_12_j_3_E_0_-_0_-_0_-_3_E_7_F_4_F_0_-_9_c_3_j_0_-_3_l	0.359
