3ld1_A		_0_A_4_g_3_n_2_d_0_-_7_f_18_A_11_j_5_g_0_-_14_C_19_E_0_-_0_-_0_-_2_E_4_F_4_F_4_E_5_C_5_C_7_E_3_E_4_D_6_D_6_E_5_E_4_D_5_D	_9_B_5_g_3_j_1_c_3_k_3_f_5_p_1_f_8_f_8_k_6_C_2_C_0_b_5_j_5_b_1_B_2_B_4_D_10_E_5_A_0_-_1_D_3_F_0_-_7_F_2_G_2_G_2_A_4_D	0-23	5-31	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	DgmDGBgjckfpffkCCbjbBBDEADFFGGAD	0.488
7li4_A		_0_A_4_g_0_-_3_n_2_d_7_f_18_A_11_j_0_-_5_g_0_-_14_C_19_E_2_E_0_-_4_F_4_F_4_E_5_C_5_C_7_E_0_-_0_-_0_-_3_E_4_D_6_D_6_E_0_-_0_-_5_E_4_D_5_D_9_B_6_C_7_E_4_F_4_E_5_E_6_D_0_-_8_A_6_E	_14_A_16_g_12_c_7_l_3_e_3_h_0_-_19_f_4_b_3_e_13_A_9_B_9_B_8_B_11_A_5_H_4_G_5_B_7_B_25_C_4_C_4_b_9_A_32_A_27_E_3_D_4_D_8_C_1_f_6_c_7_E_5_D_4_C_0_-_6_C_0_-_9_F_0_-_2_H_2_A_3_b_3_A_2_E	0-32	83-121	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	jjgjjfgkhhfgkfBfnBbbAbAbABcBBcBbBbBdBdjCCcEGbCbkChDkbCkBiiACfhBAcCDCoCCdAAcbBEjDDflAgclehfbeABBBAHGBBCCbAAEDDCfcEDCCFHAbAEr	0.556
7owg_Y		_4_g_3_n_2_d_0_-_7_f_18_A_11_j_0_-_5_g_0_-_0_-_14_C_19_E_2_E_4_F_4_F_4_E_5_C_5_C_0_-_7_E_0_-_3_E_4_D_6_D_6_E_5_E_4_D_5_D_9_B_6_C_7_E_0_-_4_F_4_E_5_E_6_D_8_A_6_E_5_E_3_E	_2_g_5_l_7_k_8_m_3_g_0_-_2_j_5_l_3_h_15_d_7_k_7_F_7_B_5_C_4_E_4_F_8_E_8_D_4_D_1_b_5_E_7_D_4_E_3_E_4_F_6_F_4_E_4_C_9_D_6_E_7_D_3_D_6_B_10_B_5_C_5_E_4_E_0_-_4_C_6_D_3_E	1-34	36-74	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	fcCBnAAkGfEnCfjcngnAkclhjifbhcemfikhglkmgjlhdkFBCEFEDDbEDEEFFECDEDDBBCEECDE	0.603
7kra_A		_3_n_2_d_7_f_18_A_11_j_5_g_14_C_19_E_2_E_4_F_4_F_4_E_5_C_5_C_7_E_3_E_4_D_0_-_6_D_6_E_0_-_5_E_4_D_5_D_9_B_6_C_7_E_0_-_4_F_4_E_5_E_6_D_8_A_6_E_5_E_3_E	_5_m_0_-_5_f_0_-_0_-_5_f_4_F_3_E_6_E_5_E_6_E_3_E_6_F_6_E_6_E_3_E_8_B_6_A_2_C_2_C_3_A_4_G_26_G_4_G_8_C_10_C_3_G_5_I_28_H_3_D_12_D_4_C_38_A_12_E_6_E_4_D	2-34	18-50	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	bEDEFbBBCDBCAEDEFGmffFEEEEEFEEEBACCAGGGCCGIHDDCAEEDs	0.688
5n11_A		_0_A_0_-_4_g_3_n_2_d_7_f_18_A_11_j_5_g_14_C_19_E_2_E_0_-_0_-_4_F_4_F_4_E_5_C_5_C_7_E_3_E_4_D_6_D_6_E_5_E_4_D_5_D_9_B_6_C_7_E_4_F_0_-_4_E_0_-_5_E_6_D_8_A	_0_E_0_b_1_e_0_-_5_b_4_e_2_C_0_-_4_e_8_A_0_-_2_D_6_b_9_n_2_G_1_B_11_A_2_B_3_B_6_F_4_H_4_D_5_C_11_G_2_F_0_-_0_-_4_B_0_-_2_G_5_C_12_d_5_C_16_j_4_A_4_A_13_A	0-31	0-30	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	EbebeCeADbnGBABBFHDCGFBGCdCjAAA	0.425
3gdc_C		_2_d_7_f_18_A_11_j_5_g_14_C_0_-_19_E_2_E_4_F_0_-_0_-_4_F_4_E_5_C_5_C_0_-_7_E_3_E_4_D_0_-_6_D_6_E_5_E_4_D_5_D_9_B_6_C_7_E_4_F_4_E_0_-_5_E	_0_c_3_d_2_A_0_-_0_-_2_C_5_M_2_G_7_D_3_G_8_A_5_b_15_F_4_E_0_-_0_-_5_e_3_F_9_I_9_C_5_c_2_C_3_G_6_E_4_D_0_-_8_B_0_-_1_D_3_F_4_E_3_c_4_G	3-29	0-26	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	cdACMGDGAbFEeFICcCGEDBDFEcG	0.570
5dgh_A		_0_A_0_-_4_g_3_n_2_d_7_f_18_A_11_j_0_-_0_-_5_g_14_C_19_E_2_E_4_F_4_F_4_E_5_C_5_C_7_E_0_-_3_E_4_D_6_D_6_E_5_E_4_D_5_D_9_B_6_C_7_E_4_F	_0_E_2_c_2_i_5_D_2_e_2_b_5_C_7_j_2_A_5_d_2_i_7_C_11_B_0_-_0_-_3_C_0_-_2_C_2_D_8_B_2_b_3_G_2_E_10_D_6_G_4_F_0_-_0_-_18_A_4_k_3_H_2_H	0-27	0-26	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	EciDebCjAdiCBCCDBbGEDGFAkHHn	0.443
6tmf_F		_2_d_7_f_18_A_11_j_5_g_14_C_19_E_2_E_4_F_4_F_4_E_0_-_5_C_5_C_7_E_3_E_4_D_6_D_6_E_5_E_4_D_5_D_0_-_9_B	_0_b_24_b_0_B_0_b_11_i_3_A_2_A_6_B_2_D_4_F_5_E_1_c_2_C_3_C_3_E_3_D_12_D_4_E_6_C_8_G_8_D_5_D_0_b_0_D	3-24	0-23	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	bbBbiAABDFEcCCEDDECGDDbD	0.673
3w5g_B		_4_g_3_n_2_d_0_-_7_f_18_A_11_j_5_g_14_C_19_E_2_E_4_F_0_-_4_F_4_E_5_C_0_-_5_C_7_E_3_E_4_D_6_D_6_E_0_-_5_E_4_D_0_-_0_-_0_-_5_D_9_B_6_C_7_E_0_-_0_-_4_F_4_E_5_E_0_-_0_-_0_-_6_D_8_A_6_E_5_E_0_-_3_E_5_d	_2_d_10_n_4_b_3_E_4_f_0_-_1_l_0_-_6_C_9_E_15_E_10_B_2_k_4_G_0_-_9_A_22_n_5_C_4_F_5_F_6_D_2_D_3_D_7_A_9_E_7_C_12_A_5_d_5_I_13_E_3_E_2_F_7_E_5_I_10_b_4_G_5_B_5_D_2_c_5_d_6_b_7_F_8_C_6_D_2_E_23_B_8_C_1_b	1-35	12-56	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	BBBEbiDcbiFcdnbEflCEEBkGAnCFFDDDAECAdIEEFEIbGBDcdbFCDEBCbFbH	0.487
7dd9_E		_0_A_4_g_3_n_2_d_0_-_0_-_7_f_0_-_0_-_18_A_11_j_0_-_5_g_0_-_0_-_0_-_14_C_0_-_19_E_2_E_4_F_4_F_4_E_5_C_5_C_7_E_0_-_3_E_0_-_4_D_6_D_0_-_0_-_0_-_0_-_0_-_6_E_5_E_0_-_0_-_4_D_0_-_5_D_0_-_0_-_0_-_9_B_6_C_7_E_4_F_4_E_5_E_6_D_8_A_6_E_5_E_3_E_5_d	_6_B_10_f_4_B_2_c_9_D_5_D_12_h_10_D_10_l_6_A_4_j_8_B_8_c_3_r_7_k_12_s_1_B_6_b_0_C_8_D_5_D_6_C_9_C_4_C_3_D_5_E_4_A_14_E_12_d_1_C_3_F_3_J_2_I_4_b_3_H_4_G_6_E_2_E_5_d_3_A_3_D_4_E_4_D_2_G_11_J_5_i_4_D_12_D_3_G_6_F_5_F_4_F_5_D_10_D_4_G_17_C_6_B_0_d	0-35	26-83	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	ibcbGBAHcEABBFHnlkdEoBijAmBfBcDDhDlAjBcrksBbCDDCCCDEAEdCFJIbHGEEdADEDGJiDDGFFFDDGCBdC	0.377
8c5v_B		_0_A_4_g_3_n_2_d_7_f_18_A_0_-_11_j_5_g_0_-_14_C_19_E_2_E_4_F_4_F_4_E_5_C_5_C_7_E_3_E_0_-_4_D_6_D_6_E_0_-_5_E_4_D	_5_B_0_-_0_m_8_e_0_-_8_G_2_G_7_h_10_f_21_j_3_B_6_A_1_E_0_-_4_H_2_E_5_B_6_C_3_E_2_F_0_d_12_E_4_E_1_H_3_b_7_E_5_D	0-22	6-29	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	rqBcjBBmeGGhfjBAEHEBCEFdEEHbEDj	0.587
