3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
4v2i_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b	_9_G_7_G_6_F_13_j_0_-_2_E_10_l_1_c_1_J_1_l_0_-_0_-_6_D_0_-_0_-_0_-_10_d_8_j_13_b_0_-_2_c_5_G_3_k_4_I_6_b	0.433
5zgb_D	_4_F_2_H_0_l_11_G_5_F_0_-_9_c	_0_F_20_E_2_j_0_-_8_D_33_b_3_c	0.559
1rhy_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n	_0_F_4_F_11_C_3_k_0_-_3_F_0_-_5_l_8_G_2_G_0_-_5_D_6_A_2_A_0_-_1_k_2_G_3_n	0.425
4dqx_B	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k_4_b	_0_D_0_-_4_j_3_E_2_j_3_D_5_d_2_f_4_C_14_e_5_i_8_E_0_-_0_-_2_b_0_-_7_l_4_b_1_G_5_f_2_h_8_e_6_b	0.391
1ea5_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_0_-_2_d_8_n_0_-_3_b_13_c_0_-_0_-_5_c_21_k_4_b_0_-_6_g	_0_C_2_C_1_D_0_-_2_I_0_-_6_b_0_-_13_B_19_c_13_E_7_F_0_-_12_b_2_f_2_C_5_d_12_n_1_J_1_j_1_c_4_D_12_k_7_i_2_j_23_f_7_E_4_f	0.352
2edm_A	_0_G_0_-_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_2_J_2_C_2_E_2_E_6_c_4_D_14_I_5_H_0_-_0_-_1_B_0_-_2_B_5_C_3_A	0.370
2eig_A	_0_G_0_-_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c	_8_G_10_b_13_E_14_E_6_C_8_G_0_-_4_G_4_F_2_c	0.443
1fqt_A	_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_D_0_b_5_E_0_-_2_G_2_E_0_-_0_-_15_A_0_-_2_B_6_B_5_B	0.422
6a7s_B	_0_G_4_F_2_H_0_l_11_G_5_F	_7_H_4_C_21_F_0_-_2_G_7_F	0.498
3p1a_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k_4_b	_0_I_2_G_5_F_6_m_8_F_2_F_5_g_5_n_2_A_5_b_0_B_1_b_1_B_6_A_7_b_2_d_5_l_7_f_6_c_4_i_10_d_0_-_2_b	0.711
2qsj_B	_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B	_0_E_3_k_3_E_2_h_6_D_2_i_0_-_4_E_3_g_4_C	0.365
3unv_A	_0_l_11_G_5_F_9_c_4_n_0_-_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_6_k_0_-_4_C_0_-_2_l_7_j_3_A_0_-_2_B_5_j_4_C_2_C_0_g_10_e_3_t_5_b_1_c_5_k_9_j_15_c	0.418
2rj9_A	_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_0_-_8_n_3_b_0_-_13_c_5_c	_0_B_6_i_3_G_1_m_5_G_2_b_9_F_6_c_1_d_0_-_2_c_2_D_3_B_0_-_5_b_3_D_8_b_25_D_0_n_7_j_4_B_1_b_3_c	0.476
1mng_A	_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k_4_b_6_g	_0_c_5_e_6_j_2_b_4_e_1_b_2_e_5_j_10_j_2_k	0.386
1p0r_A	_0_G_4_F_2_H_0_l_11_G_5_F	_0_F_3_F_0_-_5_h_10_B_20_E	0.420
4hgv_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_0_-_0_-_0_-_8_n_3_b_0_-_0_-_13_c_5_c_21_k_4_b_6_g	_5_m_3_E_2_F_0_-_0_n_0_-_2_c_1_A_0_-_16_k_4_A_0_-_3_e_5_p_10_A_12_q_13_n_1_b_1_A_1_i_3_b_1_c_1_k_3_e_6_f	0.464
1kqw_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F	_4_F_2_F_5_E_4_C_7_H_0_-_2_F_6_F	0.485
3c8j_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_E_2_I_1_i_10_i_5_G_4_C_8_d_0_-_8_C_0_-_4_C_5_G	0.502
6s0m_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_0_-_2_d_8_n	_0_I_0_-_4_I_4_E_4_b_2_e_0_-_1_b_8_A_1_j_9_C_3_j_2_b_9_A_0_f_15_l	0.461
1gm1_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_G_0_-_7_E_8_F_4_d_7_D_2_A_5_h_4_G	0.440
4lmg_B	_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n	_3_E_3_E_0_-_7_F_4_F_9_c_3_j_3_l	0.582
6td5_h	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_0_-_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_4_E_2_B_2_C_0_-_5_B_4_F_0_-_3_n_5_k_7_H_0_-_3_F_6_B_1_C_3_b_1_f_6_m	0.419
4m7w_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_1_F_5_E_2_E_4_l_3_I_9_B_2_B_3_d_11_k_0_-_0_-_4_B_2_B_0_-_0_-_11_e_4_A_0_-_0_-_0_-_2_j_2_J_8_h_2_g	0.401
7kzn_I	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_k_0_-_6_D_0_-_12_q_8_A_0_-_8_B_10_C	0.432
2nvn_A	_0_G_4_F_0_-_2_H_0_l_0_-_11_G_5_F_0_-_9_c	_0_E_2_E_7_C_4_C_5_k_10_E_3_G_2_G_6_C_4_g	0.409
6cqs_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_0_-_0_-_4_n_0_-_12_A_5_b_0_B_5_B_6_A_0_-_9_b_0_-_2_d	_2_F_2_F_3_H_3_D_5_l_0_-_3_D_5_c_2_e_4_C_0_o_6_h_7_B_1_b_1_D_2_E_11_C_4_D_19_i_4_C_8_h	0.395
5f1z_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_I_2_G_8_G_5_e_10_D_4_E_6_f_4_n_2_A_5_b_0_B_5_B_6_A_6_B_8_b_2_e_1_B_0_l_4_b_1_h_7_i_12_i_4_b_3_k	0.632
1kcf_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B	_8_E_4_G_5_H_17_n_0_-_3_E_0_-_9_p_3_C_2_j_4_i_3_B	0.453
5hpl_C	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_E_5_E_0_-_5_j_0_-_3_b_0_D_0_-_2_A_7_b	0.455
3lst_A	_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_2_k_0_-_0_-_1_d_6_g_3_k_0_-_0_-_3_C_2_C_0_-_4_b_8_c_0_-_11_c_7_d_3_d_3_h_2_c_2_f	0.398
